author,paper_title,paper_count
Geeta Rani,a survey of deep convolutional neural networks applied for prediction of plant leaf diseases,4
Geeta Rani,iot and interpretable machine learning based framework for disease prediction in pearl millet,4
Vijaypal Singh Dhaka,a deep learning model for mass screening of covid-19,3
Vijaypal Singh Dhaka,a survey of deep convolutional neural networks applied for prediction of plant leaf diseases,3
Vijaypal Singh Dhaka,iot and interpretable machine learning based framework for disease prediction in pearl millet,3
Meet Ganpatlal Oza,a deep learning model for mass screening of covid-19,1
Tarushi Sharma,a deep learning model for mass screening of covid-19,1
Graham Douglas,open access proceedings journal of physics: conference series,1
Sangeeta Vaibhav Meena,a survey of deep convolutional neural networks applied for prediction of plant leaf diseases,1
Muhammad Fazal Ijaz,a survey of deep convolutional neural networks applied for prediction of plant leaf diseases,2
Muhammad Fazal Ijaz,iot and interpretable machine learning based framework for disease prediction in pearl millet,2
Marcin Woźniak,a survey of deep convolutional neural networks applied for prediction of plant leaf diseases,2
Marcin Woźniak,iot and interpretable machine learning based framework for disease prediction in pearl millet,2
Nidhi Kundu,iot and interpretable machine learning based framework for disease prediction in pearl millet,1
Kalpit Gupta,iot and interpretable machine learning based framework for disease prediction in pearl millet,1
Siddaiah Chandra Nayak,iot and interpretable machine learning based framework for disease prediction in pearl millet,1
Sahil Verma,iot and interpretable machine learning based framework for disease prediction in pearl millet,2
Sahil Verma,a novel blockchain-based healthcare system design and performance benchmarking on a multi-hosted testbed,2
Cloud Computing,international journal of soft computing and engineering (ijsce),2
Cloud Computing,adaptive energy-aware algorithms for minimizing energy consumption and sla violation in cloud computing,2
Maneesha Sharma,international journal of soft computing and engineering (ijsce),1
Suman Bala,volume 20 number 1 pp 93 99 http: www scpe orgdoi 10 12694 scpe v20i1 1440,1
Gaurav Sharma,volume 20 number 1 pp 93 99 http: www scpe orgdoi 10 12694 scpe v20i1 1440,1
Tarunpreet Bhatia,volume 20 number 1 pp 93 99 http: www scpe orgdoi 10 12694 scpe v20i1 1440,1
Avinash Chandra Pandey,a comprehensive survey of image segmentation: clustering methods performance parameters and benchmark datasets,2
Avinash Chandra Pandey,a new clustering method for the diagnosis of covid19 using medical images,2
Mukesh Saraswat,a comprehensive survey of image segmentation: clustering methods performance parameters and benchmark datasets,2
Mukesh Saraswat,improved bag-of-features using grey relational analysis for classification of histology images,2
Garv Modwel,a comprehensive survey of image segmentation: clustering methods performance parameters and benchmark datasets,1
Ashish Tripathi,a new clustering method for the diagnosis of covid19 using medical images,1
Close Clusters With Distant,a new fuzzy cluster validity index for hyper-ellipsoid or hyper-spherical shape close clusters with distant centroids,1
Ashish Kumar Tripathi,a new recommendation system using map-reduce-based tournament empowered whale optimization algorithm,1
Histopathological Images Through Bag,classification of histopathological images through bag-of-visual-words and gravitational search algorithm,1
Roop Singh,optimal keyframe selection-based lossless video-watermarking technique using igsa in lwt domain for copyright protection,1
Vivek Sharma,see discussions st ats and author pr ofiles f or this public ation at : https: www researchgate ne t public ation 363592361,1
Balasubramaniam Jayaram,balasubramaniam jayaram 1kakarla v v d l narayana 2v vetrivel2,6
Balasubramaniam Jayaram,doi:10 1016 j fss 2008 11 004,6
Balasubramaniam Jayaram,18tfuzz02-mstepnicka-2041007-x,6
Balasubramaniam Jayaram,ql-implications some properties and intersections,6
Balasubramaniam Jayaram,the nal version of this work can be found at doi:10 1016 j fss 2014 10 003,6
Balasubramaniam Jayaram,yager s classes of fuzzy implications: some properties and intersections,6
Radko Mesiar,doi:10 1016 j fss 2008 11 004,1
Michał Baczyński,see discussions st ats and author pr ofiles f or this public ation at : https: www researchgate ne t public ation 220467494,2
Michał Baczyński,ql-implications some properties and intersections,2
Implication Operators Over,on the distributivity of implications operators,1
Jagan Mohan Rao,on the distributivity of implications operators,1
Kohout Subproduct,18tfuzz02-mstepnicka-2041007-x,1
Jagdish Ch,a modified binary particle swarm optimization for knapsack problems,1
Soniya Lalwani,a survey on parallel particle swarm optimization algorithms,1
Shimpi Singh Jadon,habcde dvi,2
Shimpi Singh Jadon,doi 10 1007 s12293-013-0128-0,2
Ritu Tiwari,habcde dvi,1
Harish Sharma,habcde dvi,5
Harish Sharma,levy flight artificial bee colony algorithm,5
Harish Sharma,memetic search in arti cial bee colony algorithm,5
Harish Sharma,memetic comp (2013) 5:213 227,5
Harish Sharma,doi 10 1007 s12293-013-0128-0,5
Jagdish Chand Bansal,habcde dvi,6
Jagdish Chand Bansal,microsoft word - ijcistudies010104 deep doc,6
Jagdish Chand Bansal,memetic search in arti cial bee colony algorithm,6
Jagdish Chand Bansal,memetic comp (2013) 5:213 227,6
Jagdish Chand Bansal,see discussions st ats and author pr ofiles f or this public ation at : https: www researchgate ne t public ation 325628393,6
Jagdish Chand Bansal,doi 10 1007 s12293-013-0128-0,6
Hybrid Arti,habcde dvi,1
Bee Colony,habcde dvi,2
Bee Colony,memetic comp (2013) 5:213 227,2
Kusum Deep,microsoft word - ijcistudies010104 deep doc,1
Atulya Nagar,memetic search in arti cial bee colony algorithm,1
Exponential Spider Monkey,sandeep kumara basudev sharmab vivek kumar sharmab harish sharmac jagdish chand,1
Sandeep Kumara,sandeep kumara basudev sharmab vivek kumar sharmab harish sharmac jagdish chand,1
Basudev Sharmab,sandeep kumara basudev sharmab vivek kumar sharmab harish sharmac jagdish chand,1
Vivek Kumar Sharmab,sandeep kumara basudev sharmab vivek kumar sharmab harish sharmac jagdish chand,1
Harish Sharmac,sandeep kumara basudev sharmab vivek kumar sharmab harish sharmac jagdish chand,1
Jagdish Chand,sandeep kumara basudev sharmab vivek kumar sharmab harish sharmac jagdish chand,1
Maurice Clerc,doi 10 1007 s12293-013-0128-0,1
Madhunika Atmakuri,pratiksha a sakhare ( pratiksha20pphy005 mahindrauniversity edu in ),1
Monte Carlo,school of physics university of hyderabad hyderabad 500 046 andhra pradesh india,1
Xian Shi,a new method for rock brittleness evaluation in tight oil formation from conventional logs and petrophysical data,1
Jian Wanga,cyclic and almost cyclic learning with,1
Wei Wua,cyclic and almost cyclic learning with,1
Jian Wang,jian wanga d qingling caib qingquan changc jacek m zuradad e,4
Jian Wang,untitled,4
Jian Wang,fractional-order gradient descent learning of bp neural networks with caputo derivative,4
Jian Wang,reservoir characterization and productivity forecast based on knowledge interaction neural network,4
Qingling Cai,jian wanga d qingling caib qingquan changc jacek m zuradad e,1
Qingquan Chang,jian wanga d qingling caib qingquan changc jacek m zuradad e,1
Jie Yang,untitled,1
Wei Wu,untitled,1
Yanqing Wen,fractional-order gradient descent learning of bp neural networks with caputo derivative,1
Yida Gou,fractional-order gradient descent learning of bp neural networks with caputo derivative,1
Zhenyun Ye,fractional-order gradient descent learning of bp neural networks with caputo derivative,1
Hua Chen,fractional-order gradient descent learning of bp neural networks with caputo derivative,1
History Matching,sa-spe-j 200223 1 22,1
Deep Sparse,sa-spe-j 200223 1 22,1
Yunqi Jiang,reservoir characterization and productivity forecast based on knowledge interaction neural network,1
Huaqing Zhang,reservoir characterization and productivity forecast based on knowledge interaction neural network,1
Kai Zhang,reservoir characterization and productivity forecast based on knowledge interaction neural network,1
Shiti Cui,reservoir characterization and productivity forecast based on knowledge interaction neural network,1
Jianfa Han,reservoir characterization and productivity forecast based on knowledge interaction neural network,1
Liming Zhang,reservoir characterization and productivity forecast based on knowledge interaction neural network,1
Jun Yao,reservoir characterization and productivity forecast based on knowledge interaction neural network,1
Jan Chorowskia,jan chorowskia jian wangb a c jacek m zuradaa,1
Jian Wangb,jan chorowskia jian wangb a c jacek m zuradaa,1
Krishna Kishore,microsoft word - 20 aodv-paper-simulations new-new,1
Sambasiva Rao,microsoft word - 20 aodv-paper-simulations new-new,3
Sambasiva Rao,evaluation of ber for awgn rayleigh and rician fading channels under various modulation schemes,3
Sambasiva Rao,international journal of computer science and communicationvol 2 no 2 july-december 2011 pp 419-422,3
Antenna Design,3870 ieee transactions on antennas and propagation vol 53 no 12 december 2005,1
Seshagiri Rao,3870 ieee transactions on antennas and propagation vol 53 no 12 december 2005,1
Marthi Anil Kumar,ieee paper template in a4 (v1),1
Samba Siva Rao,ieee paper template in a4 (v1),1
Fading Channels,evaluation of ber for awgn rayleigh and rician fading channels under various modulation schemes,1
Sudhir Babu,evaluation of ber for awgn rayleigh and rician fading channels under various modulation schemes,1
Mohammed Ali Hussain,international journal of computer trends and tec hnology - may to june issue 2011,1
Sushma Yalamanchili,international journal of computer science and communicationvol 2 no 2 july-december 2011 pp 419-422,1
Nagarjuna Nagar,international journal of computer science and communicationvol 2 no 2 july-december 2011 pp 419-422,1
Saurajyoti Kar,microsoft word - mackie-2013 full paper v2 revised doc,1
Kaustuv Nag,microsoft word - mackie-2013 full paper v2 revised doc,3
Kaustuv Nag,ieeeproofieee transactions on cybernetics 1,3
Kaustuv Nag,40 ieee transactions on cybernetics vol 45 no 1 january 2015,3
Abhishek Dutta,microsoft word - mackie-2013 full paper v2 revised doc,1
Denis Constales,microsoft word - mackie-2013 full paper v2 revised doc,1
Image Coding,image coding and lossless compression based,1
Khaldoon Dhou,image coding and lossless compression based,6
Khaldoon Dhou,a novel algorithm for bi-level image coding and lossless compression,6
Khaldoon Dhou,an innovative employment of the netlogo aids,6
Khaldoon Dhou,see discussions st ats and author pr ofiles f or this public ation at : https: www researchgate ne t public ation 335521872,6
Khaldoon Dhou,toward a better understanding of viewers perceptions of,6
Khaldoon Dhou,see discussions st ats and author pr ofiles f or this public ation at : https: www researchgate ne t public ation 325468290,6
Matthew Mouring,a novel algorithm for bi-level image coding and lossless compression,1
Attack Strategies,see discussions st ats and author pr ofiles f or this public ation at : https: www researchgate ne t public ation 344547159,1
Josh Waitzkin,see discussions st ats and author pr ofiles f or this public ation at : https: www researchgate ne t public ation 344547159,1
Virtual Chess Grandmaster,see discussions st ats and author pr ofiles f or this public ation at : https: www researchgate ne t public ation 344547159,1
Missouri St,an innovative employment of the netlogo aids,1
Sourav De,recent advances in hybrid metaheuristics for data clustering,1
The Interplay Between Arti,see discussions st ats and author pr ofiles f or this public ation at : https: www researchgate ne t public ation 344547284,1
North Carolina,toward a better understanding of viewers perceptions of,1
Akanksha Mehndiratta,akanksha mehndiratta ( mehndiratta akanksha gmail com ),1
Krishna Asawa,akanksha mehndiratta ( mehndiratta akanksha gmail com ),7
Krishna Asawa,microsoft word - ijaip180402 dhanalekshmi 157519,7
Krishna Asawa,emia: emotion model for intelligent agent,7
Krishna Asawa,r2181 dvi,7
Krishna Asawa,mitigation and detection of ddos attacks in software defined networks,7
Krishna Asawa,cit journal of computing and information technology vol 25 no 3 september 2017 211 225,7
Krishna Asawa,resilient against spoofing in 6lowpan networks by temporary-private ipv6 addresses,7
Dhanalekshmi Gopinathan,microsoft word - ijaip180402 dhanalekshmi 157519,2
Dhanalekshmi Gopinathan,cit journal of computing and information technology vol 25 no 3 september 2017 211 225,2
Brain Computer,brain computer interface for micro-controller driven robot based on emotiv sensors,1
Vector Machine,brain computer interface for micro-controller driven robot based on emotiv sensors,1
Shikha Jain,emia: emotion model for intelligent agent,1
Harshvardhan Tiwari,r2181 dvi,1
Shariq Murtuza,mitigation and detection of ddos attacks in software defined networks,1
Monali Mavani,resilient against spoofing in 6lowpan networks by temporary-private ipv6 addresses,1
Peer-to-Peer Netw. Appl.,resilient against spoofing in 6lowpan networks by temporary-private ipv6 addresses,1
Mala Saraswat,analyzing emotion based movie recommender system using fuzzy emotion features,4
Mala Saraswat,deformation adjustment with single real signature image for,4
Mala Saraswat,see discussions st ats and author pr ofiles f or this public ation at : https: www researchgate ne t public ation 345359649,4
Mala Saraswat,beei,4
Rakesh Kumar,deformation adjustment with single real signature image for,1
Danish Ather,deformation adjustment with single real signature image for,1
Muhammad Nasir Mumtaz Bhutta,deformation adjustment with single real signature image for,1
Shakila Basheer,deformation adjustment with single real signature image for,1
Mili Publications,mili,2
Mili Publications,mili,2
Eye Aspect Ratio,mili,1
Mouth Vertical Distance,mili,1
Anil Kumar Dubey,fake news detection through ml and deep learning approaches for better accuracy,1
Feature Extract,mili,1
Target Coverage,a novel energy-efficient heuristic for target coverage to maximize sensor network lifetime,1
Huda Sector,a novel energy-efficient heuristic for target coverage to maximize sensor network lifetime,1
Gaurav Khatana,untitled,1
Satish Chand,improved-coverage preserving clustering protocol in wireless sensor network,3
Satish Chand,maximising network lifetime for target coverage problem in wireless sensor networks,3
Satish Chand,target coverage heuristic based on learning automata in wireless sensor networks,3
Bijender Kumar,improved-coverage preserving clustering protocol in wireless sensor network,3
Bijender Kumar,maximising network lifetime for target coverage problem in wireless sensor networks,3
Bijender Kumar,target coverage heuristic based on learning automata in wireless sensor networks,3
Maximum Coverage Heuristics,untitled,1
Target Coverage Problem,untitled,1
Hesham El-Sayed,accurate traffic flow prediction in heterogeneous vehicular networks in an intelligent transport system using a supervised non-parametric classifier,1
Sharmi Sankar,accurate traffic flow prediction in heterogeneous vehicular networks in an intelligent transport system using a supervised non-parametric classifier,1
Yousef-Awwad Daraghmi,accurate traffic flow prediction in heterogeneous vehicular networks in an intelligent transport system using a supervised non-parametric classifier,1
Prayag Tiwari,accurate traffic flow prediction in heterogeneous vehicular networks in an intelligent transport system using a supervised non-parametric classifier,1
Ekarat Rattagan,accurate traffic flow prediction in heterogeneous vehicular networks in an intelligent transport system using a supervised non-parametric classifier,1
Manoranjan Mohanty,accurate traffic flow prediction in heterogeneous vehicular networks in an intelligent transport system using a supervised non-parametric classifier,6
Manoranjan Mohanty,ieee transactions on information forensics and security 1,6
Manoranjan Mohanty,tifs2585085 pdf,6
Manoranjan Mohanty,secure cloud-based medical data visualization,6
Manoranjan Mohanty,slide 1,6
Manoranjan Mohanty,towards seamless authentication for zoom-based online teaching and,6
Camera Fingerprint Extraction,ieee transactions on information forensics and security 1,1
Averaged Frames,ieee transactions on information forensics and security 1,1
Samet Taspinar,ieee transactions on information forensics and security 1,1
Nasir Memon,ieee transactions on information forensics and security 1,1
Photo Response Non,ieee transactions on information forensics and security 1,1
The Big Picture,edge of things: the big picture on the integration of edge iot and the cloud in a distributed computing environment,1
Prashant Gohel,date of publication xxxx 00 0000 date of current version xxxx 00 0000,1
Explainable Arti,date of publication xxxx 00 0000 date of current version xxxx 00 0000,1
Image Scaling,tifs2585085 pdf,1
Encrypted Domains,tifs2585085 pdf,1
Muhammad Rizwan Asghar,tifs2585085 pdf,1
Giovanni Russello,tifs2585085 pdf,1
Pradeep Atrey,secure cloud-based medical data visualization,1
Wei Tsang Ooi,secure cloud-based medical data visualization,2
Wei Tsang Ooi,slide 1,2
Waheeb Yaqub,towards seamless authentication for zoom-based online teaching and,1
Minni Jain,a multi-task approach to open domain suggestion mining (student abstract),8
Minni Jain,an emotion-based multi-task approach to fake news detection (student abstract),8
Minni Jain,ceasing hate with moh: hate speech detection in hindi-english code-switched language,8
Minni Jain,exploring the effects of different embedding algorithms and neural architectures on early detection of alzheimer s disease,8
Minni Jain,improving neural machine translation for sanskrit-english,8
Minni Jain,l m a: an algorithm for music lyrics mining and sentiment analysis vasu saluja minni jain and prakarsh yadav delhi technological university new delhi india vasusaluja outlook com minnijain91 gmail com prakarshy gmail com abstract here we propose an open source algorithm l m a(lyrics mine and analyse) to create a dataset of lyrics of the works of various artists the aim of this approach is to facilitate the generation of a large data set that can be used for improving accuracy of song recommendation algorithms the limited availability of such datasets has excluded the sentiment analysis of lyrics from music recommendation systems by using the l m a algorithm it is possible to generate a large dataset which can function as training dataset for future classifier systems we have used iterative api requests from musixmatch and genius servers to text mine lyrics data of songs by multiple artists the data is processed and then analysed for sentiment using lexicons provided in the tidytext package (bing afinn nrc) and the overall sentiment of artist was determined through modal counts the occurrence of each sentiments was evaluated and visualized using ggplot2 this representation exhibits the merit of our approach and the applicability of our data the key feature of our approach is the open source platforms utilized and simplicity of input required from user keywords: data mining natural language processing sentiment analysis lyrics database music recommendation musicology rstudio musixmatch genius 1 introduction music analysis is central to all music recommendation algorithms efficient music recommendation algorithms make use of a song s popularity user s past preference of music and clustering of different types of songs from the above-mentioned methods algorithms based on clustering of songs are the most complex it involves analysis of the elements of song such as lyrics beats tempo and a host of other elements a challenging task for the development of such an algorithm is the presence of accurate classifiers of music sentiment considering and analyzing the sentiment behind a music can greatly improve the accuracy of song recommendation algorithms the developing music recommendation systems based on lyrics is greatly stymied by the limited availability of open source lyrics datasets a thorough and comprehensive dataset is necessary for training classifiers that can accurately ascribe sentiment to a song on the basis of its lyrics here we,8
Minni Jain,minni jain prajwal kumar bhati pranav kataria rohit kumar,8
Minni Jain,rumour source detection using game theory,8
Maitree Leekha,a multi-task approach to open domain suggestion mining (student abstract),1
Arjun Choudhry,an emotion-based multi-task approach to fake news detection (student abstract),1
Inder Khatri,an emotion-based multi-task approach to fake news detection (student abstract),1
Arushi Sharma,ceasing hate with moh: hate speech detection in hindi-english code-switched language,1
Anubha Kabra,ceasing hate with moh: hate speech detection in hindi-english code-switched language,1
Rishabh Doshi,exploring the effects of different embedding algorithms and neural architectures on early detection of alzheimer s disease,1
Vibhu Sehra,exploring the effects of different embedding algorithms and neural architectures on early detection of alzheimer s disease,1
Divyashikha Sethia,exploring the effects of different embedding algorithms and neural architectures on early detection of alzheimer s disease,1
Ravneet Punia,improving neural machine translation for sanskrit-english,1
Aditya Sharma,improving neural machine translation for sanskrit-english,1
Sarthak Pruthi,improving neural machine translation for sanskrit-english,1
Vasu Saluja,l m a: an algorithm for music lyrics mining and sentiment analysis vasu saluja minni jain and prakarsh yadav delhi technological university new delhi india vasusaluja outlook com minnijain91 gmail com prakarshy gmail com abstract here we propose an open source algorithm l m a(lyrics mine and analyse) to create a dataset of lyrics of the works of various artists the aim of this approach is to facilitate the generation of a large data set that can be used for improving accuracy of song recommendation algorithms the limited availability of such datasets has excluded the sentiment analysis of lyrics from music recommendation systems by using the l m a algorithm it is possible to generate a large dataset which can function as training dataset for future classifier systems we have used iterative api requests from musixmatch and genius servers to text mine lyrics data of songs by multiple artists the data is processed and then analysed for sentiment using lexicons provided in the tidytext package (bing afinn nrc) and the overall sentiment of artist was determined through modal counts the occurrence of each sentiments was evaluated and visualized using ggplot2 this representation exhibits the merit of our approach and the applicability of our data the key feature of our approach is the open source platforms utilized and simplicity of input required from user keywords: data mining natural language processing sentiment analysis lyrics database music recommendation musicology rstudio musixmatch genius 1 introduction music analysis is central to all music recommendation algorithms efficient music recommendation algorithms make use of a song s popularity user s past preference of music and clustering of different types of songs from the above-mentioned methods algorithms based on clustering of songs are the most complex it involves analysis of the elements of song such as lyrics beats tempo and a host of other elements a challenging task for the development of such an algorithm is the presence of accurate classifiers of music sentiment considering and analyzing the sentiment behind a music can greatly improve the accuracy of song recommendation algorithms the developing music recommendation systems based on lyrics is greatly stymied by the limited availability of open source lyrics datasets a thorough and comprehensive dataset is necessary for training classifiers that can accurately ascribe sentiment to a song on the basis of its lyrics here we,1
Prakarsh Yadav,l m a: an algorithm for music lyrics mining and sentiment analysis vasu saluja minni jain and prakarsh yadav delhi technological university new delhi india vasusaluja outlook com minnijain91 gmail com prakarshy gmail com abstract here we propose an open source algorithm l m a(lyrics mine and analyse) to create a dataset of lyrics of the works of various artists the aim of this approach is to facilitate the generation of a large data set that can be used for improving accuracy of song recommendation algorithms the limited availability of such datasets has excluded the sentiment analysis of lyrics from music recommendation systems by using the l m a algorithm it is possible to generate a large dataset which can function as training dataset for future classifier systems we have used iterative api requests from musixmatch and genius servers to text mine lyrics data of songs by multiple artists the data is processed and then analysed for sentiment using lexicons provided in the tidytext package (bing afinn nrc) and the overall sentiment of artist was determined through modal counts the occurrence of each sentiments was evaluated and visualized using ggplot2 this representation exhibits the merit of our approach and the applicability of our data the key feature of our approach is the open source platforms utilized and simplicity of input required from user keywords: data mining natural language processing sentiment analysis lyrics database music recommendation musicology rstudio musixmatch genius 1 introduction music analysis is central to all music recommendation algorithms efficient music recommendation algorithms make use of a song s popularity user s past preference of music and clustering of different types of songs from the above-mentioned methods algorithms based on clustering of songs are the most complex it involves analysis of the elements of song such as lyrics beats tempo and a host of other elements a challenging task for the development of such an algorithm is the presence of accurate classifiers of music sentiment considering and analyzing the sentiment behind a music can greatly improve the accuracy of song recommendation algorithms the developing music recommendation systems based on lyrics is greatly stymied by the limited availability of open source lyrics datasets a thorough and comprehensive dataset is necessary for training classifiers that can accurately ascribe sentiment to a song on the basis of its lyrics here we,1
Prajwal Kumar Bhati,minni jain prajwal kumar bhati pranav kataria rohit kumar,1
Pranav Kataria,minni jain prajwal kumar bhati pranav kataria rohit kumar,1
Rohit Kumar,minni jain prajwal kumar bhati pranav kataria rohit kumar,1
Game Theory,rumour source detection using game theory,1
Aman Jaswani,rumour source detection using game theory,1
Ankita Mehra,rumour source detection using game theory,1
Alexander Gelbukh,computaci n y sistemas vol 22 no 4 2018,1
Building Scalable Cyber,building scalable cyber-physical-social networking infrastructure using iot and low power sensors,1
Deep Sparse Representation Classifier,deep sparse representation classifier for facial recognition and detection system,1
Switched Grid,received july 27 2017 accepted august 16 2017 date of publication august 30 2017 date of current version october 12 2017,1
Pankaj Kashyap,towards precision agriculture: iot-enabled intelligent irrigation systems using deep learning neural network,1
Tolerant Embedding,virtual ization in wireless sensor networks: fault,1
Omprakash Kaiwartya,virtual ization in wireless sensor networks: fault,2
Omprakash Kaiwartya,toward a heterogeneous mist fog and cloud-based framework for the internet of healthcare things,2
Abdul Hanan Abdullah,virtual ization in wireless sensor networks: fault,1
Yue Cao,virtual ization in wireless sensor networks: fault,2
Yue Cao,citation: cao yue yang shusen min geyong zhang xing song houbing kaiwartya,2
Sushil Kumar,virtual ization in wireless sensor networks: fault,1
Rajiv Ratn Shah,virtual ization in wireless sensor networks: fault,1
Shiv Prakash,virtual ization in wireless sensor networks: fault,1
Nihar Ranjan Pradhan,a novel blockchain-based healthcare system design and performance benchmarking on a multi-hosted testbed,1
Akhilendra Pratap Singh,a novel blockchain-based healthcare system design and performance benchmarking on a multi-hosted testbed,1
Diptendu Sinha Roy,a novel blockchain-based healthcare system design and performance benchmarking on a multi-hosted testbed,1
Seemandhar Jain,cube sampled k-prototype clustering for featured,1
Kapil Ahuja,cube sampled k-prototype clustering for featured,1
Shredding Machine,ijtsrd unique paper id - ijtsrd23889 volume 3 issue 4 may-jun 2019 page: 707 design and construction of a shredding machine for,1
Abhay Katiyar,ijtsrd unique paper id - ijtsrd23889 volume 3 issue 4 may-jun 2019 page: 707 design and construction of a shredding machine for,1
Abhishek Gaur,ijtsrd unique paper id - ijtsrd23889 volume 3 issue 4 may-jun 2019 page: 707 design and construction of a shredding machine for,1
Mohd Ahmar Khan,ijtsrd unique paper id - ijtsrd23889 volume 3 issue 4 may-jun 2019 page: 707 design and construction of a shredding machine for,1
Navneet Pratap Singh,ijtsrd unique paper id - ijtsrd23889 volume 3 issue 4 may-jun 2019 page: 707 design and construction of a shredding machine for,1
Rahul Saini,ijtsrd unique paper id - ijtsrd23889 volume 3 issue 4 may-jun 2019 page: 707 design and construction of a shredding machine for,1
Gaganpreet Kaur,ijtsrd unique paper id - ijtsrd23889 volume 3 issue 4 may-jun 2019 page: 707 design and construction of a shredding machine for,1
Shaunak Singh,genetic variability and associations studies for yield and its component traits in potato (solanum tuberosum l ),2
Shaunak Singh,studies on character association and path analysis in (trachyspermum ammi l ),2
Devendra Pratap Mishra,genetic variability and associations studies for yield and its component traits in potato (solanum tuberosum l ),1
Navneet Singh,genetic variability and associations studies for yield and its component traits in potato (solanum tuberosum l ),3
Navneet Singh,http: www iaeme com ijecet index asp 1 editor iaeme com international journal of electronics and communication engineering and technology,3
Navneet Singh,studies on character association and path analysis in (trachyspermum ammi l ),3
Shashank Singh,genetic variability and associations studies for yield and its component traits in potato (solanum tuberosum l ),1
Shivendra Pratap Singh,genetic variability and associations studies for yield and its component traits in potato (solanum tuberosum l ),2
Shivendra Pratap Singh,studies on character association and path analysis in (trachyspermum ammi l ),2
Wound Healing Potential,indian journal of pharmaceutical education and research vol 56 issue 2 apr-jun 2022 589,1
Tej Pratap Singh,indian journal of pharmaceutical education and research vol 56 issue 2 apr-jun 2022 589,1
Navneet Verma,indian journal of pharmaceutical education and research vol 56 issue 2 apr-jun 2022 589,1
Farhan Jalees Ahmad,indian journal of pharmaceutical education and research vol 56 issue 2 apr-jun 2022 589,1
Phool Chandra,indian journal of pharmaceutical education and research vol 56 issue 2 apr-jun 2022 589,1
Gaurav Kumar Jain,indian journal of pharmaceutical education and research vol 56 issue 2 apr-jun 2022 589,1
VP Pandey,studies on character association and path analysis in (trachyspermum ammi l ),1
Pooshpendra Singh Dixit,studies on character association and path analysis in (trachyspermum ammi l ),1
Navneet Kumar Verma,712,1
Der Pharmacia Lettre,1655,1
Scopus Indexed,http: www iaeme com ijaret index asp 857 editor ia eme com international journal of advanced research in engin eering and technology (ijaret),1
Rekha Kailey,microsoft word - june25k1,1
Prasad Rasane,microsoft word - june25k1,1
Jyoti Singh,microsoft word - june25k1,1
Sawinder Kaur,microsoft word - june25k1,1
Bhanu Pratap Singh,microsoft word - june25k1,1
Navneet Kaur,microsoft word - june25k1,1
Damanpreet Kaur,microsoft word - june25k1,1
Nikhil Tripathi,see discussions st ats and author pr ofiles f or this public ation at : https: www researchgate ne t public ation 308983583,10
Nikhil Tripathi,mark hempstead nikhil tripathi patrick mauro gu-yeon wei david brooks,10
Nikhil Tripathi,see discussions st ats and author pr ofiles f or this public ation at : https: www researchgate ne t public ation 270448251,10
Nikhil Tripathi,application layer denial-of-service (dos) attacks and defense mechanisms: a survey,10
Nikhil Tripathi,dos attacks into the wild and their real-time,10
Nikhil Tripathi,see discussions st ats and author pr ofiles f or this public ation at : https: www researchgate ne t public ation 320558120,10
Nikhil Tripathi,untitled,10
Nikhil Tripathi,01-168 edited,10
Nikhil Tripathi,untitled,10
Nikhil Tripathi,international journal of chemtech research,10
Internet Control Message,hacking arp poisoning is used when a host is used to poison,1
Mark Hempstead,mark hempstead nikhil tripathi patrick mauro gu-yeon wei david brooks,1
Patrick Mauro,mark hempstead nikhil tripathi patrick mauro gu-yeon wei david brooks,1
Yeon Wei,mark hempstead nikhil tripathi patrick mauro gu-yeon wei david brooks,1
David Brooks,mark hempstead nikhil tripathi patrick mauro gu-yeon wei david brooks,1
Neminath Hubballi,application layer denial-of-service (dos) attacks and defense mechanisms: a survey,1
Preeti Ranjan Panda,untitled,1
Sanjiv Narayan,untitled,1
Shamanth Nagaraju,mobility assisted localization for mission critical wireless sensor network applications using hybrid area exploration approach,2
Shamanth Nagaraju,mobility assisted localization for mission critical wireless sensor network applications using hybrid area exploration approach,2
Sachindra Sahu,01-168 edited,1
Gaurav Chawla,01-168 edited,2
Gaurav Chawla,international journal of chemtech research,2
Prashant Yadav,01-168 edited,1
Srihari Yechangunja,untitled,1
Raj Shekhar,untitled,1
Mohit Kumar,untitled,1
Abhishek Ranjan,untitled,1
Jianfeng Liu,untitled,1
Minyoung Mo,untitled,1
Kyungtae Do,untitled,1
Jung Yun,untitled,1
Ho Park,untitled,1
Vikas Singh,adaptive type-2 fuzzy approach for filtering salt and pepper noise in grayscale images,1
Raghav Dev,adaptive type-2 fuzzy approach for filtering salt and pepper noise in grayscale images,1
An Optimized Fault Diagnosis,an optimized fault diagnosis method for reciprocating air compressors based on svm,1
Abhishek Roy,an optimized fault diagnosis method for reciprocating air compressors based on svm,3
Abhishek Roy,self-optimal clustering technique using optimized threshold function,3
Abhishek Roy,svm based methods for arrhythmia classification in ecg,3
Narendra Kohli,microsoft word - ijest-ng-vol3-no8-pp122-131,2
Narendra Kohli,svm based methods for arrhythmia classification in ecg,2
Rajesh Agnihotri,assessing operative natural and anthropogenic forcing factors from long-term climate time series of uttarakhand (india) in the backdrop of recurring extreme rainfall events over northwest himalaya,1
Aquib Mustafa,aquib mustafa student member ieee narendra k dhar and nishchal k verma senior member ieee,1
